"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2020","1,959.45","1,867.77","2,051.79","1,866.42","1.68B","5.38%"
"05/01/2020","1,859.43","1,744.92","1,880.72","1,730.82","1.28B","4.24%"
"04/01/2020","1,783.81","1,629.72","1,794.39","1,552.31","1.48B","8.23%"
"03/01/2020","1,648.20","1,867.52","1,953.83","1,363.40","2.19B","-11.25%"
"02/01/2020","1,857.10","1,935.13","2,109.33","1,851.71","1.08B","-5.52%"
"01/01/2020","1,965.61","2,014.65","2,113.08","1,965.60","883.87M","-2.25%"
"12/01/2019","2,010.91","1,897.35","2,034.88","1,856.74","791.28M","6.61%"
"11/01/2019","1,886.18","1,883.61","1,964.58","1,879.52","736.40M","0.31%"
"10/01/2019","1,880.32","1,853.41","1,903.92","1,808.79","674.94M","1.44%"
"09/01/2019","1,853.60","1,745.79","1,885.08","1,737.98","673.08M","5.90%"
"08/01/2019","1,750.36","1,787.20","1,803.78","1,694.35","717.01M","-2.55%"
"07/01/2019","1,796.13","1,867.73","1,867.73","1,787.96","685.90M","-3.24%"
"06/01/2019","1,856.21","1,755.07","1,862.85","1,752.81","618.49M","5.38%"
"05/01/2019","1,761.47","1,890.48","1,913.78","1,734.35","810.27M","-7.35%"
"04/01/2019","1,901.19","1,851.95","1,942.96","1,851.95","709.20M","3.49%"
"03/01/2019","1,837.13","1,901.85","1,904.23","1,816.95","742.31M","-2.50%"
"02/01/2019","1,884.17","1,911.85","1,928.63","1,858.11","620.94M","-0.98%"
"01/01/2019","1,902.81","1,732.45","1,925.93","1,676.71","853.97M","10.42%"
"12/01/2018","1,723.22","1,825.26","1,835.03","1,709.61","729.66M","-4.04%"
"11/01/2018","1,795.70","1,776.09","1,850.72","1,754.31","746.78M","1.42%"
"10/01/2018","1,770.64","2,000.17","2,003.29","1,738.04","875.52M","-11.14%"
"09/01/2018","1,992.62","1,996.01","2,010.67","1,926.29","651.50M","-0.55%"
"08/01/2018","2,003.55","1,992.12","2,003.55","1,899.98","697.91M","0.87%"
"07/01/2018","1,986.26","1,987.80","2,011.74","1,929.78","752.04M","-0.19%"
"06/01/2018","1,990.06","2,051.63","2,118.22","1,968.06","776.42M","-3.39%"
"05/01/2018","2,059.88","2,164.69","2,165.23","2,041.61","856.75M","-4.89%"
"04/01/2018","2,165.77","2,120.68","2,166.40","2,067.16","597.04M","2.43%"
"03/01/2018","2,114.30","2,084.97","2,189.80","2,046.88","593.08M","0.64%"
"02/01/2018","2,100.84","2,234.33","2,238.01","2,022.10","491.92M","-5.43%"
"01/01/2018","2,221.44","2,196.95","2,262.55","2,161.21","644.10M","1.36%"
"12/01/2017","2,191.53","2,203.76","2,239.28","2,137.35","490.35M","-0.06%"
"11/01/2017","2,192.88","2,289.24","2,318.92","2,189.19","635.49M","-3.45%"
"10/01/2017","2,271.18","2,184.25","2,277.81","2,179.20","558.64M","5.94%"
"09/01/2017","2,143.75","2,061.37","2,164.01","2,020.22","618.90M","4.18%"
"08/01/2017","2,057.70","2,086.35","2,123.13","2,001.17","634.57M","-1.79%"
"07/01/2017","2,095.18","2,077.18","2,153.77","2,058.35","668.69M","1.08%"
"06/01/2017","2,072.82","2,008.08","2,088.90","1,998.40","643.17M","3.26%"
"05/01/2017","2,007.35","1,916.09","2,046.50","1,914.71","548.28M","5.38%"
"04/01/2017","1,904.90","1,862.26","1,918.74","1,818.77","452.95M","2.61%"
"03/01/2017","1,856.45","1,789.01","1,892.92","1,771.35","606.07M","4.59%"
"02/01/2017","1,774.97","1,785.96","1,802.79","1,752.85","499.64M","-0.23%"
"01/01/2017","1,779.10","1,706.07","1,801.77","1,701.89","450.52M","4.00%"
"12/01/2016","1,710.64","1,672.41","1,741.53","1,650.56","424.37M","2.51%"
"11/01/2016","1,668.76","1,666.08","1,674.80","1,607.67","522.82M","-0.09%"
"10/01/2016","1,670.20","1,676.87","1,698.22","1,637.87","465.47M","0.51%"
"09/01/2016","1,661.76","1,643.53","1,696.53","1,614.21","402.40M","0.23%"
"08/01/2016","1,657.89","1,619.51","1,671.53","1,591.06","453.49M","3.06%"
"07/01/2016","1,608.62","1,560.02","1,622.61","1,533.59","458.57M","3.42%"
"06/01/2016","1,555.47","1,534.72","1,590.24","1,497.67","546.91M","0.94%"
"05/01/2016","1,540.93","1,543.02","1,545.85","1,498.45","489.96M","-0.23%"
"04/01/2016","1,544.43","1,554.44","1,577.81","1,511.80","575.37M","-0.82%"
"03/01/2016","1,557.22","1,505.78","1,568.54","1,488.86","623.50M","5.22%"
